epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,830.393,1.13847,2.41058,1.49648,0.44469,0.62196,0.56102,0.35521,1.18488,1.50666,1.42052,0.0007294,0.0007294,0.0007294
43,849.411,1.20853,1.52175,1.44665,0.53385,0.59222,0.56156,0.35735,1.17537,1.46093,1.40465,0.0007228,0.0007228,0.0007228
44,869.268,1.297,1.60227,1.50142,0.51992,0.57028,0.55993,0.35323,1.23339,1.49433,1.43009,0.0007162,0.0007162,0.0007162
45,888.098,1.202,1.56271,1.45032,0.58218,0.51105,0.55325,0.35499,1.25363,1.53311,1.44454,0.0007096,0.0007096,0.0007096
46,906.831,1.23363,1.44746,1.43699,0.46544,0.5637,0.56578,0.35068,1.33517,1.56153,1.51872,0.000703,0.000703,0.000703
47,925.587,1.26351,1.40378,1.43772,0.70115,0.5312,0.59459,0.34693,1.46769,1.58372,1.62948,0.0006964,0.0006964,0.0006964
48,944.43,1.40346,1.68915,1.76982,0.43564,0.6235,0.6028,0.32087,1.57798,1.59493,1.72558,0.0006898,0.0006898,0.0006898
49,964.314,1.22893,1.46695,1.50047,0.43576,0.6471,0.60927,0.31991,1.52046,1.57139,1.6751,0.0006832,0.0006832,0.0006832
50,983.413,1.30976,1.81429,1.61911,0.40984,0.7384,0.62117,0.36235,1.34918,1.51379,1.52476,0.0006766,0.0006766,0.0006766
51,1002.17,1.20842,1.54052,1.48419,0.68972,0.51047,0.64036,0.40823,1.20047,1.44893,1.40896,0.00067,0.00067,0.00067
52,1020.59,1.19543,1.43403,1.47997,0.65241,0.54498,0.62998,0.42011,1.1355,1.4271,1.35999,0.0006634,0.0006634,0.0006634
53,1039.69,1.2308,1.43784,1.39057,0.60182,0.59145,0.62175,0.41993,1.11128,1.41818,1.34684,0.0006568,0.0006568,0.0006568
54,1063.08,1.04147,1.36585,1.38626,0.58275,0.60262,0.63763,0.42468,1.12363,1.42417,1.35453,0.0006502,0.0006502,0.0006502
55,1085.21,1.12655,1.45511,1.42359,0.6458,0.53126,0.6548,0.43496,1.14173,1.40125,1.36993,0.0006436,0.0006436,0.0006436
56,1105.62,1.08038,1.47312,1.45087,0.6454,0.56321,0.65575,0.42342,1.16355,1.38302,1.38931,0.000637,0.000637,0.000637
57,1124.64,1.40161,1.53747,1.76698,0.58319,0.57269,0.63193,0.41342,1.15171,1.38122,1.39172,0.0006304,0.0006304,0.0006304
58,1143.97,1.37344,1.65017,1.66808,0.4546,0.73263,0.63068,0.41399,1.15816,1.37089,1.40787,0.0006238,0.0006238,0.0006238
59,1163.07,1.32739,1.74885,1.61751,0.70878,0.53559,0.64513,0.42561,1.13756,1.3761,1.4016,0.0006172,0.0006172,0.0006172
60,1182,1.2772,1.57062,1.52782,0.72557,0.55273,0.64899,0.42969,1.096,1.33505,1.36828,0.0006106,0.0006106,0.0006106
61,1200.95,1.07112,1.39817,1.36041,0.75731,0.54571,0.64105,0.42917,1.04337,1.3008,1.32332,0.000604,0.000604,0.000604
62,1219.9,1.05742,1.34313,1.26879,0.73419,0.54193,0.63139,0.42167,1.03294,1.27686,1.29678,0.0005974,0.0005974,0.0005974
63,1239.15,1.19834,1.57442,1.51489,0.55469,0.64583,0.64271,0.40711,1.15626,1.28536,1.36162,0.0005908,0.0005908,0.0005908
64,1258.71,1.12682,2.1155,1.49235,0.56853,0.69786,0.65215,0.40914,1.22979,1.28601,1.40652,0.0005842,0.0005842,0.0005842
65,1278.68,1.27151,1.45822,1.47952,0.55932,0.69922,0.67745,0.43056,1.21434,1.2721,1.4038,0.0005776,0.0005776,0.0005776
66,1298.23,1.20514,1.45397,1.43144,0.49734,0.66626,0.68631,0.45553,1.14448,1.26216,1.3762,0.000571,0.000571,0.000571
