epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,744.044,1.77534,1.15153,1.21746,0.41602,0.52771,0.27046,0.10454,2.06503,3.6329,1.44026,0.000612931,0.000612931,0.000612931
43,761.371,1.7507,1.11629,1.23865,0.07729,0.68073,0.21123,0.09835,2.04431,3.62987,1.42715,0.000609125,0.000609125,0.000609125
44,778.986,1.77676,1.1954,1.27901,0.07398,0.64286,0.20661,0.08728,2.09322,3.67443,1.44344,0.000605318,0.000605318,0.000605318
45,796.519,1.78524,1.09535,1.23811,0.0668,0.60714,0.15499,0.06582,2.15309,3.69134,1.45374,0.000601512,0.000601512,0.000601512
46,814.243,1.83424,1.1426,1.21587,0.06126,0.58651,0.12321,0.05521,2.17741,3.60882,1.45418,0.000597705,0.000597705,0.000597705
47,832.284,1.89231,1.09286,1.22903,0.05878,0.67303,0.11429,0.04985,2.18042,3.50511,1.45633,0.000593899,0.000593899,0.000593899
48,850.125,1.72667,1.09076,1.19897,0.05361,0.71952,0.11055,0.04771,2.1416,3.44199,1.4437,0.000590092,0.000590092,0.000590092
49,867.939,1.78905,1.08252,1.18549,0.048,0.71952,0.09453,0.04061,2.10135,3.46921,1.43794,0.000586286,0.000586286,0.000586286
50,887.131,1.7884,1.08191,1.17724,0.04134,0.67426,0.0676,0.02709,2.11403,3.63878,1.45872,0.000582479,0.000582479,0.000582479
51,905.147,1.75129,1.06001,1.18664,0.03218,0.4569,0.04981,0.02038,2.11144,3.75522,1.46267,0.000578672,0.000578672,0.000578672
52,925.651,1.78784,1.08215,1.20594,0.03782,0.50677,0.04412,0.01496,2.09201,3.87108,1.46689,0.000574866,0.000574866,0.000574866
53,948.051,1.83997,1.07047,1.20197,0.03813,0.48091,0.0347,0.01103,2.08616,3.97942,1.46599,0.000571059,0.000571059,0.000571059
54,970.021,1.71177,1.08764,1.24525,0.0389,0.55788,0.03924,0.01362,2.08688,4.04888,1.46993,0.000567253,0.000567253,0.000567253
55,991.848,1.69724,1.07179,1.22208,0.04061,0.63362,0.0488,0.01838,2.07357,4.01643,1.4682,0.000563446,0.000563446,0.000563446
56,1012.69,1.77958,1.11529,1.22228,0.04529,0.67241,0.07315,0.02728,2.03918,3.90315,1.45458,0.00055964,0.00055964,0.00055964
57,1034.63,1.72707,1.11853,1.1997,0.0507,0.72845,0.1061,0.04187,1.99789,3.72829,1.42876,0.000555833,0.000555833,0.000555833
58,1056.51,1.7754,1.08157,1.19897,0.05101,0.76293,0.12951,0.05275,1.97742,3.58159,1.40594,0.000552027,0.000552027,0.000552027
59,1078.3,1.85046,1.07646,1.21246,0.05136,0.79095,0.12597,0.05066,1.99028,3.50926,1.40729,0.00054822,0.00054822,0.00054822
60,1099.56,1.70562,1.06258,1.17356,0.05202,0.80172,0.1304,0.05312,2.02153,3.46177,1.4208,0.000544414,0.000544414,0.000544414
61,1121.34,1.73697,1.01076,1.1593,0.05451,0.79741,0.13916,0.05889,2.02427,3.47459,1.42117,0.000540607,0.000540607,0.000540607
62,1142.32,1.6296,1.03516,1.17351,0.05491,0.79095,0.1519,0.06621,2.01148,3.47713,1.40394,0.0005368,0.0005368,0.0005368
63,1164.21,1.59165,1.01343,1.20073,0.05508,0.79741,0.15305,0.06929,2.02058,3.45867,1.41758,0.000532994,0.000532994,0.000532994
64,1185.56,1.72471,1.04495,1.17693,0.05317,0.80603,0.15655,0.0684,2.05887,3.39964,1.4398,0.000529187,0.000529187,0.000529187
65,1207.12,1.61258,1.01103,1.17574,0.05172,0.81034,0.14888,0.06143,2.10141,3.34328,1.46298,0.000525381,0.000525381,0.000525381
66,1228.93,1.65891,1.00346,1.18423,0.04574,0.80819,0.11992,0.0476,2.09356,3.32316,1.46033,0.000521574,0.000521574,0.000521574
67,1249.44,1.63954,1.00946,1.18956,0.04444,0.80172,0.09202,0.03671,2.06324,3.38896,1.44538,0.000517768,0.000517768,0.000517768
68,1270.09,1.54596,1.0215,1.19019,0.04316,0.76724,0.07487,0.02998,2.05547,3.51594,1.43552,0.000513961,0.000513961,0.000513961
69,1290.59,1.61623,1.01253,1.19117,0.04386,0.73707,0.06624,0.02753,2.08474,3.63386,1.44581,0.000510155,0.000510155,0.000510155
70,1311.21,1.67005,1.02204,1.17718,0.0535,0.7306,0.07737,0.03282,2.11523,3.72362,1.46066,0.000506348,0.000506348,0.000506348
71,1332.95,1.66527,1.01698,1.18918,0.05965,0.6992,0.1007,0.0437,2.09762,3.72107,1.46069,0.000502541,0.000502541,0.000502541
72,1354.18,1.70728,1.00624,1.1548,0.05612,0.63331,0.09585,0.04301,2.05235,3.78572,1.45404,0.000498735,0.000498735,0.000498735
73,1375.03,1.64912,0.99973,1.17571,0.05015,0.67241,0.07658,0.03142,2.01679,3.90345,1.44888,0.000494928,0.000494928,0.000494928
74,1395.59,1.62885,0.96011,1.14083,0.04053,0.64224,0.06549,0.02517,1.99945,3.97174,1.44453,0.000491122,0.000491122,0.000491122
75,1416.9,1.72639,0.99399,1.12839,0.03996,0.64224,0.06688,0.02552,2.00737,3.94145,1.44792,0.000487315,0.000487315,0.000487315
76,1438.02,1.57761,0.95754,1.14501,0.04724,0.68319,0.07372,0.03106,2.00339,3.85919,1.44722,0.000483509,0.000483509,0.000483509
77,1458.74,1.63447,0.98337,1.14775,0.05362,0.70043,0.1176,0.04161,1.9739,3.781,1.43137,0.000479702,0.000479702,0.000479702
78,1479.68,1.57391,1.00246,1.13358,0.06026,0.67549,0.12075,0.04868,1.98024,3.8076,1.44689,0.000475896,0.000475896,0.000475896
79,1501.5,1.72571,0.9945,1.13355,0.05831,0.64963,0.11658,0.0476,1.98464,3.87586,1.44903,0.000472089,0.000472089,0.000472089
80,1524.68,1.66063,0.97038,1.16904,0.05868,0.68534,0.11233,0.04701,1.99736,3.88204,1.45841,0.000468283,0.000468283,0.000468283
81,1547.78,1.59472,0.99007,1.17003,0.05632,0.67457,0.11576,0.0494,2.02077,3.87231,1.46184,0.000464476,0.000464476,0.000464476
82,1570.41,1.55312,0.94683,1.1333,0.05977,0.64101,0.12117,0.05178,2.03079,3.86427,1.45465,0.000460669,0.000460669,0.000460669
83,1593.91,1.65255,1.01207,1.13392,0.06115,0.69397,0.13557,0.05696,2.03613,3.77027,1.45573,0.000456863,0.000456863,0.000456863
84,1616.41,1.60273,0.95202,1.1471,0.06119,0.63978,0.1363,0.05812,2.03882,3.72045,1.45,0.000453056,0.000453056,0.000453056
85,1639.45,1.65513,0.9801,1.15472,0.05652,0.68627,0.13678,0.0587,2.06837,3.65891,1.45744,0.00044925,0.00044925,0.00044925
86,1663.31,1.58306,0.96329,1.11149,0.05589,0.68411,0.1262,0.05456,2.10919,3.70564,1.47607,0.000445443,0.000445443,0.000445443
87,1687.92,1.65415,0.95788,1.1574,0.05572,0.71121,0.11777,0.04876,2.11588,3.78028,1.48201,0.000441637,0.000441637,0.000441637
88,1710.38,1.62364,0.95727,1.17428,0.04872,0.59883,0.09792,0.03775,2.11541,3.90464,1.4903,0.00043783,0.00043783,0.00043783
89,1733.22,1.56259,0.95774,1.13892,0.04654,0.60222,0.07935,0.03174,2.09669,3.99614,1.49253,0.000434024,0.000434024,0.000434024
