epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1444.87,1.61318,1.03571,1.23439,0.73405,0.65186,0.70991,0.32055,1.99176,1.14699,1.4096,0.000456863,0.000456863,0.000456863
43,1477.64,1.63542,1.06417,1.24273,0.68443,0.66563,0.70301,0.31895,1.97267,1.16221,1.40996,0.00044925,0.00044925,0.00044925
44,1509.91,1.6132,1.07577,1.25964,0.848,0.58929,0.71395,0.32033,1.97758,1.17546,1.41446,0.000441637,0.000441637,0.000441637
45,1542.16,1.60747,1.04677,1.23789,0.76473,0.66563,0.73192,0.31694,1.96597,1.14612,1.40307,0.000434024,0.000434024,0.000434024
46,1574.34,1.59412,1.03356,1.23757,0.74471,0.69231,0.73506,0.31482,1.96961,1.12933,1.40677,0.000426411,0.000426411,0.000426411
47,1606.57,1.59803,1.03009,1.22705,0.73047,0.63139,0.72741,0.32521,1.98463,1.12356,1.40659,0.000418797,0.000418797,0.000418797
48,1638.81,1.58822,1.04377,1.25293,0.72416,0.64457,0.73205,0.32832,1.98169,1.11439,1.4058,0.000411184,0.000411184,0.000411184
49,1670.92,1.60548,1.03683,1.26672,0.65198,0.68644,0.71776,0.32761,1.95866,1.0966,1.40132,0.000403571,0.000403571,0.000403571
50,1703.46,1.60631,1.01853,1.2271,0.71339,0.65696,0.70612,0.32947,1.95571,1.08435,1.40183,0.000395958,0.000395958,0.000395958
51,1735.74,1.56672,1.0083,1.24845,0.75462,0.64595,0.70641,0.3187,1.95795,1.08337,1.39752,0.000388345,0.000388345,0.000388345
52,1768.22,1.54391,0.98994,1.21486,0.7491,0.66334,0.70526,0.31061,1.95294,1.07746,1.3952,0.000380732,0.000380732,0.000380732
53,1801.19,1.59188,1.00961,1.22523,0.75039,0.69367,0.72582,0.31439,1.95355,1.06985,1.3959,0.000373119,0.000373119,0.000373119
54,1833.19,1.56023,1.02106,1.2636,0.7362,0.69324,0.72633,0.32082,1.95035,1.07198,1.39222,0.000365506,0.000365506,0.000365506
55,1864.66,1.54211,0.99037,1.23257,0.7178,0.71072,0.74003,0.33007,1.95122,1.06505,1.38593,0.000357893,0.000357893,0.000357893
56,1896.75,1.56854,1.00434,1.2377,0.73341,0.68585,0.74227,0.33599,1.96361,1.07723,1.39264,0.00035028,0.00035028,0.00035028
57,1928.74,1.53472,0.96352,1.20848,0.75912,0.71238,0.74694,0.32212,1.99326,1.06826,1.41682,0.000342666,0.000342666,0.000342666
58,1959.95,1.52809,0.98865,1.23919,0.76431,0.70771,0.74457,0.31996,1.99243,1.0573,1.42036,0.000335053,0.000335053,0.000335053
