epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,816.584,1.25464,2.60496,1.58508,0.27377,0.70363,0.36951,0.21266,1.41761,2.00447,1.56261,0.0007294,0.0007294,0.0007294
43,837.4,1.2199,1.52091,1.44164,0.27636,0.71052,0.39835,0.23872,1.34878,1.77321,1.51592,0.0007228,0.0007228,0.0007228
44,860.231,1.26541,1.63154,1.478,0.33853,0.62935,0.4502,0.28137,1.30563,1.53625,1.47872,0.0007162,0.0007162,0.0007162
45,881.311,1.19331,1.6032,1.43452,0.58243,0.46384,0.53694,0.33916,1.20003,1.44361,1.40072,0.0007096,0.0007096,0.0007096
46,902.479,1.2892,1.49359,1.44564,0.63267,0.5107,0.55732,0.34955,1.20724,1.48486,1.41259,0.000703,0.000703,0.000703
47,922.055,1.30902,1.46837,1.42288,0.6727,0.51811,0.55739,0.33098,1.27239,1.55054,1.46751,0.0006964,0.0006964,0.0006964
48,942.032,1.4313,1.64751,1.72257,0.57753,0.5189,0.55058,0.29739,1.38827,1.57737,1.53103,0.0006898,0.0006898,0.0006898
49,961.586,1.23771,1.48035,1.52499,0.44993,0.63763,0.5276,0.28212,1.42252,1.58899,1.54964,0.0006832,0.0006832,0.0006832
50,981.059,1.3478,1.74203,1.61919,0.54258,0.58903,0.55765,0.30469,1.34274,1.59156,1.50677,0.0006766,0.0006766,0.0006766
51,1000.99,1.23008,1.47852,1.46812,0.6581,0.5296,0.56617,0.33732,1.25693,1.55981,1.46692,0.00067,0.00067,0.00067
52,1020.82,1.16466,1.4458,1.45131,0.68054,0.55835,0.56797,0.34338,1.26651,1.57221,1.48579,0.0006634,0.0006634,0.0006634
53,1040.57,1.20472,1.44304,1.35857,0.66276,0.52844,0.57666,0.35206,1.25676,1.5692,1.47556,0.0006568,0.0006568,0.0006568
54,1060.13,1.09799,1.38019,1.42747,0.65715,0.51883,0.57825,0.34677,1.27266,1.56202,1.49702,0.0006502,0.0006502,0.0006502
55,1079.75,1.14993,1.49141,1.42923,0.64295,0.55544,0.58666,0.35141,1.28917,1.57873,1.52247,0.0006436,0.0006436,0.0006436
56,1100.03,1.09335,1.44337,1.42924,0.67768,0.54173,0.59761,0.3427,1.32329,1.58255,1.5421,0.000637,0.000637,0.000637
57,1120.11,1.36842,1.60955,1.69487,0.61882,0.54986,0.62184,0.37668,1.29898,1.53531,1.52198,0.0006304,0.0006304,0.0006304
58,1140.07,1.40209,1.65075,1.66811,0.58099,0.54434,0.59215,0.36572,1.26389,1.46579,1.48952,0.0006238,0.0006238,0.0006238
59,1159.79,1.40271,1.67524,1.64765,0.63745,0.50704,0.59687,0.36405,1.23971,1.41268,1.46939,0.0006172,0.0006172,0.0006172
60,1179.51,1.29868,1.55951,1.53278,0.64225,0.55715,0.60709,0.36987,1.21138,1.40934,1.43809,0.0006106,0.0006106,0.0006106
61,1198.83,1.06847,1.40318,1.33992,0.66213,0.55591,0.61325,0.39598,1.16365,1.41407,1.39963,0.000604,0.000604,0.000604
62,1220.25,1.03917,1.37141,1.25608,0.6562,0.54438,0.60655,0.40722,1.10994,1.38899,1.3456,0.0005974,0.0005974,0.0005974
63,1242.36,1.18779,1.5441,1.45005,0.75244,0.49102,0.61872,0.41667,1.08747,1.34174,1.32196,0.0005908,0.0005908,0.0005908
64,1264.1,1.15105,1.93761,1.50558,0.76975,0.51535,0.63183,0.41683,1.091,1.31037,1.31907,0.0005842,0.0005842,0.0005842
65,1284.73,1.21756,1.48107,1.42729,0.7151,0.54419,0.62443,0.42791,1.07017,1.26364,1.3139,0.0005776,0.0005776,0.0005776
66,1304.58,1.25192,1.41754,1.43511,0.75039,0.52389,0.60808,0.4303,1.0812,1.23549,1.33053,0.000571,0.000571,0.000571
67,1323.82,1.16568,1.32963,1.33926,0.5388,0.50562,0.57473,0.39972,1.11318,1.26167,1.36037,0.0005644,0.0005644,0.0005644
68,1344.35,1.19917,1.42358,1.42203,0.44543,0.71082,0.58101,0.39563,1.12697,1.25932,1.35692,0.0005578,0.0005578,0.0005578
69,1366.26,1.24566,1.61759,1.43601,0.55202,0.6171,0.61244,0.42534,1.11336,1.24515,1.33238,0.0005512,0.0005512,0.0005512
70,1387.96,1.17588,1.9171,1.58397,0.56078,0.65596,0.6654,0.46617,1.08294,1.23164,1.30188,0.0005446,0.0005446,0.0005446
71,1410.73,1.19624,1.42154,1.40112,0.55388,0.67635,0.67456,0.46355,1.07402,1.20537,1.29091,0.000538,0.000538,0.000538
72,1430.19,1.25849,1.58878,1.48606,0.65735,0.66496,0.69397,0.46672,1.07993,1.18006,1.29697,0.0005314,0.0005314,0.0005314
73,1448.8,1.03974,1.23902,1.3225,0.72232,0.63454,0.70264,0.47503,1.05336,1.1584,1.29279,0.0005248,0.0005248,0.0005248
74,1468.41,1.23246,1.43209,1.50158,0.76278,0.62029,0.71073,0.49659,1.01516,1.14434,1.27882,0.0005182,0.0005182,0.0005182
75,1486.74,1.2667,1.46465,1.44172,0.74967,0.62771,0.71325,0.50663,0.99042,1.16447,1.2673,0.0005116,0.0005116,0.0005116
76,1504.94,1.26857,2.09543,1.67604,0.72059,0.61142,0.70845,0.50362,0.98143,1.18105,1.2572,0.000505,0.000505,0.000505
77,1523.27,1.13436,1.38114,1.36918,0.69047,0.62058,0.70568,0.50144,1.00433,1.19753,1.25957,0.0004984,0.0004984,0.0004984
78,1541.53,1.20192,1.34714,1.4789,0.6663,0.66811,0.71128,0.50716,1.01537,1.18805,1.26161,0.0004918,0.0004918,0.0004918
79,1559.85,1.13036,1.45876,1.43872,0.69921,0.68147,0.72564,0.52581,1.02121,1.16301,1.25786,0.0004852,0.0004852,0.0004852
80,1578.41,1.03571,1.25208,1.24183,0.72681,0.6564,0.74579,0.53496,1.01031,1.12623,1.25006,0.0004786,0.0004786,0.0004786
81,1596.85,1.09037,1.33506,1.33872,0.78875,0.63957,0.76177,0.5408,1.00683,1.10215,1.24436,0.000472,0.000472,0.000472
82,1616.07,1.04592,1.33758,1.35703,0.76475,0.64129,0.77432,0.53403,1.02491,1.094,1.24925,0.0004654,0.0004654,0.0004654
83,1635.55,1.21936,1.30865,1.51974,0.63692,0.79399,0.78652,0.53099,1.0549,1.08948,1.2645,0.0004588,0.0004588,0.0004588
84,1658.72,1.0795,1.31267,1.32267,0.61828,0.82834,0.77979,0.50961,1.10327,1.09779,1.29035,0.0004522,0.0004522,0.0004522
85,1678.25,1.03774,1.17859,1.27488,0.58179,0.75288,0.75868,0.5097,1.09515,1.09929,1.29025,0.0004456,0.0004456,0.0004456
86,1696.81,1.32178,1.5028,1.45307,0.62619,0.71517,0.75025,0.51823,1.05219,1.09126,1.2659,0.000439,0.000439,0.000439
87,1715.11,1.10776,1.5434,1.41501,0.6466,0.71806,0.74441,0.52467,0.98521,1.08286,1.23505,0.0004324,0.0004324,0.0004324
88,1733.41,1.1494,1.38212,1.39485,0.67439,0.72701,0.75263,0.53784,0.96571,1.07722,1.22412,0.0004258,0.0004258,0.0004258
89,1751.66,1.04833,1.19954,1.22264,0.68532,0.74135,0.75705,0.53623,0.94706,1.07196,1.21164,0.0004192,0.0004192,0.0004192
90,1769.93,1.20405,1.96041,1.57082,0.73354,0.71,0.7646,0.54109,0.95113,1.06206,1.20779,0.0004126,0.0004126,0.0004126
91,1788.27,1.12996,1.48666,1.35116,0.6738,0.69667,0.76307,0.53653,0.95486,1.0507,1.20801,0.000406,0.000406,0.000406
92,1806.67,1.06683,1.23115,1.34676,0.60148,0.80938,0.76462,0.52921,0.96474,1.04063,1.21596,0.0003994,0.0003994,0.0003994
93,1826.07,0.99145,1.39644,1.35377,0.55843,0.85184,0.77621,0.53713,0.97882,1.02789,1.22816,0.0003928,0.0003928,0.0003928
94,1844.86,0.90382,1.99979,1.34052,0.5228,0.86293,0.76154,0.53296,0.97084,1.0352,1.22891,0.0003862,0.0003862,0.0003862
95,1868.4,1.13429,1.22257,1.37836,0.51033,0.84318,0.75677,0.53638,0.96986,1.03923,1.22997,0.0003796,0.0003796,0.0003796
96,1889.52,1.14114,1.32819,1.33728,0.64856,0.74493,0.77009,0.54991,0.97475,1.04411,1.23293,0.000373,0.000373,0.000373
97,1908.06,1.03171,1.14476,1.32029,0.78816,0.6104,0.78798,0.55891,0.97154,1.04335,1.22605,0.0003664,0.0003664,0.0003664
