epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2457.54,1.62791,1.07188,1.21253,0.78406,0.69115,0.79534,0.36247,1.9837,1.15075,1.42895,0.000371313,0.000371313,0.000371313
43,2491.12,1.60536,1.07618,1.20282,0.77335,0.67929,0.78811,0.36351,1.99886,1.15449,1.43687,0.000365125,0.000365125,0.000365125
44,2527.8,1.60826,1.03686,1.20297,0.8104,0.64264,0.7958,0.36183,1.99769,1.15506,1.45783,0.000358938,0.000358938,0.000358938
45,2557.91,1.5539,1.01971,1.22072,0.80215,0.64431,0.79049,0.3561,1.9862,1.16047,1.45044,0.00035275,0.00035275,0.00035275
46,2588.83,1.62321,1.03756,1.17734,0.73104,0.74115,0.79956,0.34793,1.98718,1.14506,1.45396,0.000346563,0.000346563,0.000346563
47,2623.13,1.61701,1.03563,1.18734,0.83497,0.68537,0.79832,0.35664,1.9892,1.1215,1.45786,0.000340375,0.000340375,0.000340375
48,2656.16,1.64246,1.06451,1.18446,0.84205,0.6857,0.78359,0.36497,1.99357,1.12587,1.46472,0.000334188,0.000334188,0.000334188
49,2688.43,1.55154,1.03759,1.19327,0.83991,0.67226,0.78099,0.35796,1.97206,1.12348,1.4535,0.000328,0.000328,0.000328
50,2721.32,1.64093,1.06645,1.21851,0.83914,0.68217,0.7967,0.37018,1.96049,1.0987,1.43379,0.000321812,0.000321812,0.000321812
51,2754.3,1.5307,1.01098,1.16925,0.79389,0.70029,0.79651,0.38106,1.9631,1.09224,1.42847,0.000315625,0.000315625,0.000315625
52,2787.09,1.54407,0.98261,1.16599,0.77276,0.73898,0.79265,0.3687,1.99602,1.10444,1.44812,0.000309437,0.000309437,0.000309437
53,2819.65,1.57613,1.01926,1.19665,0.77877,0.74032,0.78899,0.36719,2.00404,1.10048,1.45339,0.00030325,0.00030325,0.00030325
54,2852.21,1.53594,1.02251,1.1773,0.77808,0.73873,0.79351,0.36132,1.99598,1.09862,1.44926,0.000297063,0.000297063,0.000297063
55,2885.52,1.59709,1.01167,1.16485,0.7725,0.73524,0.78724,0.36039,1.99989,1.09216,1.44907,0.000290875,0.000290875,0.000290875
56,2918.44,1.51492,0.94082,1.15844,0.9005,0.66554,0.8002,0.36475,2.00357,1.0799,1.44638,0.000284688,0.000284688,0.000284688
57,2950.66,1.53878,0.97809,1.18199,0.83976,0.68815,0.79886,0.36459,1.99453,1.07842,1.44199,0.0002785,0.0002785,0.0002785
58,2983.9,1.54378,0.96323,1.14835,0.77722,0.70941,0.80409,0.37679,1.98527,1.07679,1.44283,0.000272313,0.000272313,0.000272313
59,3016.6,1.50561,0.95023,1.14376,0.79185,0.68808,0.78777,0.36494,1.97887,1.06833,1.44333,0.000266125,0.000266125,0.000266125
60,3050.96,1.5416,0.97202,1.17803,0.84018,0.69124,0.77131,0.363,1.96291,1.07016,1.45002,0.000259938,0.000259938,0.000259938
61,3085.39,1.54467,0.99528,1.15224,0.82339,0.71147,0.76263,0.36003,1.97061,1.07762,1.46103,0.00025375,0.00025375,0.00025375
62,3120.66,1.5332,0.99553,1.14979,0.77564,0.71545,0.761,0.35995,1.98311,1.07819,1.46501,0.000247563,0.000247563,0.000247563
63,3154.64,1.49493,0.95027,1.14694,0.75637,0.73158,0.76938,0.36288,1.98053,1.06922,1.45675,0.000241375,0.000241375,0.000241375
64,3183.48,1.47552,0.96598,1.15025,0.75883,0.74586,0.80864,0.37895,1.97236,1.07128,1.44119,0.000235188,0.000235188,0.000235188
65,3212.44,1.4797,0.93255,1.13631,0.76434,0.73062,0.8139,0.3812,1.96804,1.07318,1.43532,0.000229,0.000229,0.000229
66,3240.93,1.51967,0.95733,1.15947,0.79301,0.73033,0.81366,0.38168,1.98571,1.06682,1.43518,0.000222813,0.000222813,0.000222813
67,3274.06,1.47383,0.93111,1.14616,0.82312,0.73074,0.82046,0.37203,1.99501,1.05952,1.44175,0.000216625,0.000216625,0.000216625
68,3306.56,1.47778,0.92378,1.1297,0.88176,0.71653,0.81601,0.38595,1.99457,1.04898,1.45292,0.000210437,0.000210437,0.000210437
69,3336.68,1.48949,0.93833,1.14285,0.89406,0.72189,0.81656,0.38376,1.99147,1.04527,1.45951,0.00020425,0.00020425,0.00020425
